Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
4,93.42320532,103853.2206,248708.4892,2953.248771,89.88756208,4,473224763.9,1,9207772.186,6663.816572,81.7424612,1366
4,590.4689416,,166104.1642,5305.174042,84.40334295,4,167069721.6,2,1685101.134,30656.04982,,1743
1,625.9511425,266023.4824,424114.6308,,60.49824887,2,84636100.09,2,5111812.899,1749.613759,8.461295633,
1,779.9987283,487039.5296,308337.7316,1925.250307,86.89786068,3,,2,4805902.371,43233.23782,8.402441206,2821
3,,482815.0856,360437.7705,3948.945383,70.94935132,2,35744128.28,1,16686014.48,14858.66276,28.82286745,2583
1,596.1746308,292384.463,415449.6225,9767.234396,,3,449150517.7,2,11315378.7,16089.62608,9.038486886,309
5,912.4606257,166865.9068,268570.0281,9177.042493,54.34546335,1,485953840,1,8453916.11,,20.11218696,3483
1,782.9344663,277874.892,,228390.8408,72.32395537,2,237006441.2,1,6831257.817,7054.752767,45.16850462,4155
1,842.2478217,456305.5836,364032.5316,1463.242396,73.44790678,2,107777969.1,1,,40329.04778,83.56356726,4617
2,,401363.1727,216170.7123,1792.133939,90.59240224,3,472545866.3,2,14086169.3,20564.87454,66.21395664,
1,331.4526224,,263867.8013,9776.231445,,1,440466517,1,54235.26984,23050.9743,16.1741087,4327
5,923.3716098,325001.5413,433532.1176,5764.408399,64.88731091,1,373905846.3,2,10531180.73,22991.21367,,1916
4,269.124322,176638.6369,412244.5355,2648.026535,50.58378728,1,117202214.9,1,,10445.96593,76.94968569,2935
4,713.3930864,213284.3216,387135.1887,5547.755621,,2,170269004.5,3,18042969.11,35928.70926,59.1699292,2252
3,292.2830709,,16932.69006,2457.244777,65.55724059,2,313970944,3,16328048.97,11944.16501,13.79546248,3440
6,90.86643809,206272.868,79092.992,384.3262147,,3,204997524.9,1,1332253.107,45611.39552,74.88334649,1552
4,889.1545544,13066.88338,,311190.4831,80.33276893,2,9053773.942,2,465266.8627,38668.76896,16.84662851,4783
7,,124626.882,427010.5295,5098.33819,71.1276647,1,156262222.9,3,10670647.4,30414.55311,70.18859809,1406
5,468.1550005,10076.62608,134075.9411,9136.15018,,2,271498650.5,1,164183.9265,3294.346528,,1116
1,973.7404781,,406471.8827,9094.09479,69.68229888,2,380319250,1,7173750.18,14257.55934,60.24057395,4210
7,234.583508,116290.1567,384757.699,,53.86057257,1,191894116.7,1,17079653,6812.438376,63.69531616,4251
5,697.6758745,220226.1312,133636.8911,2337.044258,95.52086549,2,,1,13217332.87,32872.54745,31.07812473,3384
6,369.7757616,,59044.50949,1589.1917,83.50803272,2,263973164.7,3,1912490.154,47863.73097,24.26251446,3750
6,121.1255985,150710.477,277797.8654,3187.204882,,2,263801897.1,2,17540808.2,36810.38206,30.2352936,223
2,737.37571,213138.2846,,8991.182369,66.54514581,2,228919557.6,3,19130980.73,32390.44691,77.13027242,756
4,725.2334523,,316116.7354,2412.684083,99.22139576,2,148878256.7,2,1991603.228,10811.14056,93.74352008,2955
5,98.44339681,170966.6751,444229.371,2541.809176,59.76521449,,454046260.7,2,12151045.84,5924.75231,91.57976229,2218
7,511.911116,209511.069,233208.2986,,72.50422759,3,72272673.73,1,5947534.284,,93.89590887,2406
1,,200285.9449,441188.1696,772.9395548,82.96139206,1,452767527.5,3,15795168.48,35884.87653,2.623855637,3871
3,855.692318,329785.2988,,6950.845394,98.55213201,1,104139436.7,1,19651202.93,5649.383611,54.16497737,934
6,638.7794973,312630.8134,236362.6792,7518.443574,,2,124527969.9,2,9641548.211,27227.1013,4.110015345,4793
5,,97793.68766,314622.5383,6858.453351,90.52459622,1,435807803.3,1,14742797.66,25511.01408,96.26732229,3418
4,836.8475872,37263.95178,,7096.89847,65.77696395,2,431446289.3,1,19670967.03,23165.91779,56.44556286,1473
1,341.7827662,439317.4424,61360.61778,9514.826529,,1,362664490.5,2,9440230.785,10220.6075,94.86765646,3444
4,436.6223601,,267136.6811,9830.393977,56.26946627,3,318226069.1,3,7067421.79,48642.12088,7.570521466,4710
4,20.58552064,273681.0435,189224.664,6601.900834,91.12121158,2,,2,4082588.572,7412.867223,44.83409787,1793
3,,306434.598,323687.2224,4017.623182,68.61917411,2,467401045.7,3,8366588.341,3277.17418,30.5235899,2450
2,826.5273359,329289.8961,361126.0204,,66.82436698,2,425088746.2,3,5372065.613,1187.056003,89.75663202,3886
7,187.5521786,,373960.4382,2142.057395,64.88325005,4,465801558.6,3,3612095.954,5482.940386,29.7626473,4694
7,277.1209112,11945.63524,160011.472,9572.763288,,4,102158027.5,2,2936118.6,30730.54856,23.50429026,1652
3,,105064.6077,248354.6852,6083.951633,58.123724,1,81650064.92,3,2102350.671,4350.524104,87.02732246,1151
