Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate
28.3,,2.3,12.2,30.8,9.7,1.64,6,611,Moderate
23.1,74.7,26.7,33.8,,12.6,1.63,5.2,619,Moderate
27.1,39.1,6.1,6.3,13.5,,1.15,11.1,551,Good
26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,,Good
39.4,96.6,14.6,,42.9,17.9,1.82,3.1,674,Hazardous
41.7,,1.7,15.8,31.1,12.7,1.8,4.6,735,Poor
31,59.6,,16.8,24.2,13.6,1.38,6.3,443,Moderate
29.4,93.8,10.3,22.7,45.1,11.8,,5.4,486,Poor
33.2,,11.1,24.4,32,15.3,1.69,4.9,535,Poor
26.3,65.7,1.3,,18.3,5.9,0.85,13,529,Good
32.5,51.2,,10.5,21.6,19.3,1.53,5.9,519,Moderate
20,,3.7,12.9,26.1,6.6,1.09,10.2,538,Good
28.6,53.7,28.9,34,23.2,,1.02,11,508,Good
22.3,,4.5,12,17.2,6.3,1.18,10.4,232,Good
32,78.9,,29.9,27.5,11.8,1.48,7.9,444,Moderate
22.9,75.4,4.5,10.4,,3.7,0.96,14.4,359,Good
37.6,,28.1,56.6,46.7,13.7,1.85,4.1,560,Poor
34.7,59.3,,15.7,28.5,7.1,1.52,6.1,437,Moderate
37.8,97.2,0.6,24.6,37.1,,1.13,7.7,803,Poor
27.6,44.1,,14.4,30.7,9.4,0.97,8,338,Moderate
27.6,,3.8,10.9,9.1,1.7,1.04,14.4,520,Good
25.6,58.3,0.4,,25.3,4.5,0.98,10,,Good
24.6,48.4,8.3,15.4,,4.6,1.03,11.2,461,Good
26.2,,0.5,2,22.9,2.3,0.94,17.9,581,Good
22.6,62.1,16.4,21.3,17.6,,0.93,11.5,324,Good
30,,2,3.9,15.3,5.2,1.09,10.1,297,Good
37.6,72.2,,16.6,32.2,6.3,1.85,3.5,637,Poor
29.6,65.6,3.4,,20.6,2.9,1.03,10.2,452,Good
52.5,,67.5,91.2,31.6,34.6,2.31,2.9,785,Hazardous
44.7,97.9,34.6,57.3,,22.6,1.78,3.5,562,Hazardous
23.3,,24,29,26.6,5.3,0.96,10.9,575,Good
35.4,100.2,,33.2,34.4,11.7,1.85,5.1,440,Poor
29.7,85.8,84.4,94.4,26.7,,1.55,10,744,Poor
21.8,,7.1,16.8,14.5,6,0.91,10.8,455,Good
27.7,86.1,,93.5,25.3,6.8,1.71,7.4,594,Moderate
27.5,78.9,30.2,34.1,,3,0.98,11.1,472,Good
28,,18.5,25,24.9,6.1,1.32,13.2,480,Good
22.2,50,2.3,,23.5,3.7,0.96,10.2,547,Good
33.3,,55.1,72.7,40.5,30.7,2.12,4.9,612,Hazardous
37.5,83.7,,2.2,39.5,29.2,2.61,2.5,898,Hazardous
30.9,94.4,48.3,67.1,,23.3,1.75,4.3,779,Poor
39.3,,68.9,85.2,43.7,13,1.7,8.5,570,Poor
24.7,64.9,17.3,,27.2,14.9,1.48,5.5,453,Poor
27.8,62.8,,13.2,29.7,15.8,1.4,8.1,604,Moderate
17.4,,2.6,6.9,21,3.5,0.92,11.6,475,Good
18.1,70.1,,8.1,19.7,5.8,1.18,12.9,273,Good
25.6,78.1,1.1,5.2,,6.1,0.89,10.9,524,Good
22.4,,2.2,8.4,19.6,3,0.92,10.2,339,Good
25.3,47.4,,84.8,22.4,8.2,1.59,13.2,587,Moderate
42.1,,12.1,35.3,41.4,30.4,2.67,2.8,861,Hazardous
27.5,45.3,2.8,,13.7,4.1,0.82,10.6,236,Good
32.6,,4.1,19.3,28,14.5,1.45,6.3,509,Moderate
46.1,100.3,,169.8,42.5,16.1,2.3,7.3,443,Hazardous
33.5,,23.4,56.5,34.2,27.2,1.95,3.7,600,Hazardous
48.1,94.1,,19,23.7,6,1.57,6,625,Poor
31.6,,21.4,26.9,30.1,17.4,1.29,7.6,663,Moderate
29,83.5,31.5,44.4,,,-2.8,1.49,5.7,538,Moderate
24.9,,19.5,27.9,25.6,2,1.54,8.1,458,Moderate
27.7,99.4,17.8,29.9,37.5,,1.74,5.4,588,Poor
20.8,,16,19.7,11.2,2.5,1.17,10.2,432,Good
28.2,71.7,,90,30.8,5,1.81,4.8,765,Poor
32,,95.7,110.4,36.1,20.5,2.3,6.8,673,Poor
21.5,60,,20.6,20.9,1.6,0.94,10.7,587,Good
29.6,,12.8,15.9,22,3.8,1.16,11,377,Good
17.5,73.8,,8.8,16.2,8.4,0.83,10.8,217,Good
33.2,,1.4,23.3,23,25.8,2.06,6.8,730,Poor
58.6,66,44,54,44.3,,3.09,5.2,641,Hazardous
28.1,,36,40.3,26.4,5.4,1.15,10.8,264,Good
32,,43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate
25,63.9,,10.8,15.8,4.6,0.92,10.1,490,Good
25.7,,15.7,25,27.7,10.6,1.44,9.5,482,Moderate
35.1,69.2,,30.3,35.3,27.6,2.07,4.9,724,Hazardous
26.7,,6.8,9.3,13.4,4.9,0.98,10,358,Good
20.4,44.9,,9.2,20.5,5.7,1.03,10.2,545,Good
24.6,84.2,5.2,19.2,,9,1.48,7.3,623,Moderate
